StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,hospitality,control check,treatment check,variable matrix_1,variable matrix_2,variable matrix_3,variable matrix_4,variable matrix_5,barriers,barriers_5_TEXT,previous awareness,opening time,type,type_5_TEXT,employees,role,role_5_TEXT,voltage,treatment
2026-02-13 18:55:13,2026-02-13 18:57:55,IP Address,88.25.114.7,100,162,True,2026-02-13 18:57:55,R_2Qh1zVTOqUXQJA6,,,,,27.991,-15.4218,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Agree,I don’t know how to do it,,Yes,"Morning,Afternoon",Cafe,,1-5,Owner,,Medium,0
2026-02-13 18:56:21,2026-02-13 18:59:14,IP Address,80.35.204.51,100,173,True,2026-02-13 18:59:14,R_2ZyqsaBHi16DHZn,,,,,40.1842,-4.0368,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Disagree,Somewhat disagree,Strongly agree,Somewhat agree,It would harm business operations,,No,Morning,Cafe,,1-5,Employee,,Not sure,0
2026-02-13 19:52:00,2026-02-13 19:54:10,IP Address,77.63.29.23,100,130,True,2026-02-13 19:54:10,R_8hts5LdZcnG0mUA,,,,,52.3824,4.8995,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Somewhat agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,It would harm business operations,,No,"Afternoon,Evening",Restaurant,,16-50,Manager,,Not sure,1
2026-02-13 21:55:06,2026-02-13 21:58:10,IP Address,178.225.190.243,100,184,True,2026-02-13 21:58:10,R_8IWvCWSbBMfE8RM,,,,,51.8846,4.547,anonymous,EN,Yes,Carry electricity across long distance,,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,I don’t know how to do it,,No,"Afternoon,Evening",Restaurant,,16-50,Manager,,Not sure,0
2026-02-13 22:07:43,2026-02-13 22:09:58,IP Address,79.18.162.210,100,134,True,2026-02-13 22:09:58,R_8EZTEevScHEF2zT,,,,,41.8905,12.5127,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,It would harm business operations,,No,Evening,Restaurant,,16-50,Manager,,Medium,0
2026-02-14 10:32:52,2026-02-14 10:32:57,IP Address,91.196.223.225,100,5,True,2026-02-14 10:32:58,R_2QQVPmIOnCwjio6,,,,,51.5081,-0.1278,anonymous,EN,No,,,,,,,,,,,,,,,,,,
2026-02-13 18:22:47,2026-02-13 18:23:13,IP Address,77.248.226.169,33,26,False,2026-02-14 13:07:10,R_27UJJL50BSDcj7W,,,,,51.9156,4.5146,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,1
2026-02-15 15:30:54,2026-02-15 15:34:47,IP Address,178.230.5.216,100,233,True,2026-02-15 15:34:48,R_2VJwMF22makLoYX,,,,,52.3716,4.8883,anonymous,EN,Yes,Reduce customer bills,,Disagree,Disagree,Disagree,Strongly agree,Agree,I don’t know how to do it,,No,"Morning,Afternoon,Evening",Restaurant,,6-15,Other (please specify):,Keuken,Medium,0
2026-02-15 15:43:03,2026-02-15 15:51:17,IP Address,77.60.234.212,100,493,True,2026-02-15 15:51:17,R_2hlllSbI8luAb9n,,,,,51.992,4.4811,anonymous,EN,Yes,Carry electricity across long distance,,Neither agree nor disagree,Somewhat agree,Disagree,Strongly agree,Neither agree nor disagree,It would be too costly,,No,"Afternoon,Evening",Restaurant,,16-50,Manager,,Not sure,0
2026-02-15 16:50:14,2026-02-15 16:50:33,IP Address,84.31.171.19,100,19,True,2026-02-15 16:50:33,R_8flqi8RvSlg05aG,,,,,52.204,4.4175,anonymous,EN,No,,,,,,,,,,,,,,,,,,
2026-02-15 16:55:51,2026-02-15 16:57:56,IP Address,77.60.234.212,100,124,True,2026-02-15 16:57:57,R_8eOJQoNMHe6iRAR,,,,,51.992,4.4811,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat disagree,Disagree,Disagree,Strongly agree,Agree,It would harm business operations,,Yes,"Morning,Afternoon,Evening",Restaurant,,16-50,Owner,,Low,0
2026-02-15 16:51:29,2026-02-15 16:59:31,IP Address,84.31.171.19,100,481,True,2026-02-15 16:59:31,R_2nfIGYonF1MsS41,,,,,52.204,4.4175,anonymous,EN,Yes,Carry electricity across long distance,,Disagree,Agree,Disagree,Strongly agree,Disagree,It would harm business operations,,Yes,"Morning,Afternoon,Evening",Restaurant,,16-50,Employee,,Not sure,0
2026-02-15 17:37:00,2026-02-15 17:46:16,IP Address,77.60.234.212,100,555,True,2026-02-15 17:46:17,R_2ktB9XMlenz1clp,,,,,51.992,4.4811,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,It would be too costly,,No,"Morning,Afternoon,Evening",Restaurant,,More than 50,Manager,,Not sure,1
2026-02-15 23:16:42,2026-02-15 23:19:12,IP Address,145.5.180.38,100,150,True,2026-02-15 23:19:13,R_2g9tQL3bUqhAQ6t,,,,,51.9156,4.5146,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,It would harm business operations,,Yes,"Morning,Afternoon,Evening",Cafe,,6-15,Manager,,Not sure,1
2026-02-16 11:45:52,2026-02-16 11:46:12,IP Address,88.159.45.65,100,20,True,2026-02-16 11:46:12,R_8R7Eo7rEQF14iQw,,,,,51.5716,5.0751,anonymous,EN,No,,,,,,,,,,,,,,,,,,
2026-02-16 11:47:50,2026-02-16 11:52:09,IP Address,84.80.106.165,100,259,True,2026-02-16 11:52:09,R_224kYRIqLcWIQXu,,,,,51.9221,4.45,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Somewhat disagree,Agree,Agree,Strongly agree,Somewhat agree,It would harm business operations,,No,"Afternoon,Evening",Cafe,,6-15,Employee,,Not sure,1
2026-02-16 11:46:28,2026-02-16 11:52:37,IP Address,88.159.45.65,100,368,True,2026-02-16 11:52:37,R_8QLCMe4Xql8xIOZ,,,,,51.5716,5.0751,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,I lack motivation or interest,,No,"Morning,Afternoon,Evening",Cafe,,1-5,Employee,,Not sure,0
2026-02-16 14:46:44,2026-02-16 14:50:49,IP Address,77.63.15.10,100,244,True,2026-02-16 14:50:50,R_8jQinPnKAtmbsrL,,,,,52.3824,4.8995,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Somewhat disagree,Disagree,Strongly agree,Disagree,It would harm business operations,,Yes,"Morning,Afternoon,Evening,Night",Cafe,,16-50,Employee,,Not sure,0
2026-02-16 15:02:36,2026-02-16 15:04:29,IP Address,77.63.55.192,100,113,True,2026-02-16 15:04:30,R_2g29BgQHBc6OaIh,,,,,52.3824,4.8995,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,I don’t know how to do it,,No,"Afternoon,Evening,Night",Bar,,6-15,Manager,,Not sure,0
2026-02-16 15:00:12,2026-02-16 15:15:58,IP Address,89.98.143.71,100,945,True,2026-02-16 15:15:58,R_20kpyDCX5KXjZOs,,,,,51.8521,4.5326,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,I don’t know how to do it,,No,"Afternoon,Evening",Restaurant,,6-15,Owner,,Not sure,0
2026-02-16 16:52:24,2026-02-16 16:54:48,IP Address,84.80.106.165,100,144,True,2026-02-16 16:54:49,R_2zd1czgsnRFQQTP,,,,,51.9221,4.45,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,It would harm business operations,,No,"Morning,Afternoon,Evening",Restaurant,,16-50,Manager,,Low,1
2026-02-16 16:59:15,2026-02-16 17:00:59,IP Address,82.168.2.27,100,104,True,2026-02-16 17:01:00,R_8EtGlrK3aleTw5m,,,,,51.8846,4.547,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,It would harm business operations,,Yes,"Afternoon,Evening",Restaurant,,6-15,Manager,,Not sure,0
2026-02-16 17:07:19,2026-02-16 17:08:33,IP Address,82.168.2.27,100,73,True,2026-02-16 17:08:33,R_8ofKdJFKmSHsPWF,,,,,51.8846,4.547,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,I lack motivation or interest,,No,"Afternoon,Evening",Restaurant,,6-15,Employee,,Not sure,1
2026-02-16 17:08:20,2026-02-16 17:11:57,IP Address,77.166.58.1,100,216,True,2026-02-16 17:11:57,R_24JMGwow9SqUYOB,,,,,51.9191,4.4414,anonymous,EN,Yes,Carry electricity across long distance,,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Agree,I don’t know how to do it,,No,"Afternoon,Evening",Restaurant,,16-50,Employee,,Not sure,0
2026-02-16 17:11:32,2026-02-16 17:12:41,IP Address,82.168.2.27,100,68,True,2026-02-16 17:12:41,R_2377EbIG1ohvodb,,,,,51.8846,4.547,anonymous,EN,Yes,Carry electricity across long distance,,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,I don’t know how to do it,,No,"Morning,Afternoon,Evening",Restaurant,,16-50,Manager,,Not sure,0
2026-02-16 17:18:33,2026-02-16 17:19:45,IP Address,82.168.2.27,100,72,True,2026-02-16 17:19:46,R_2kCfoplMtmCLriZ,,,,,51.8846,4.547,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,It would harm business operations,,No,"Afternoon,Evening",Restaurant,,6-15,Employee,,Not sure,1
2026-02-16 17:28:23,2026-02-16 17:31:18,IP Address,77.63.92.155,100,174,True,2026-02-16 17:31:18,R_2JPTnmKnEmXDoJj,,,,,51.8846,4.547,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,I lack motivation or interest,,No,"Afternoon,Evening",Restaurant,,6-15,Owner,,Not sure,1
2026-02-16 18:39:14,2026-02-16 18:58:11,IP Address,145.5.180.38,100,1137,True,2026-02-16 18:58:12,R_2JynY2wh9cpPSrd,,,,,51.9156,4.5146,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Agree,Somewhat disagree,Disagree,Strongly agree,Strongly agree,It would harm business operations,,Yes,"Afternoon,Evening,Night",Restaurant,,16-50,Manager,,Low,1
2026-02-16 19:04:27,2026-02-16 19:05:30,IP Address,145.5.180.38,100,62,True,2026-02-16 19:05:30,R_2mTAm4bc4GwXSwh,,,,,51.9156,4.5146,anonymous,EN,Yes,,Scheduling cleaning or preparation outside peak hours,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,It would harm business operations,,Yes,"Afternoon,Evening,Night",Cafe,,1-5,Owner,,Low,1
2026-02-16 23:42:50,2026-02-16 23:43:52,IP Address,89.98.81.215,100,62,True,2026-02-16 23:43:53,R_2EB7NwHD9wm3foU,,,,,51.9235,4.4813,anonymous,EN,Yes,Store electricity,,Disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,It would be too costly,,No,"Morning,Afternoon,Evening",Restaurant,,16-50,Employee,,Not sure,0
